Peak name,Continent,Country,Difficulty,Elevation (feet),Elevation (meters),Latitude,Longitude,Nearest major airport,Year first climbed
Ben Lui,europe,united kingdom,walk up,3707,1130,56.397,-4.8111,glasgow,
Ben Macdui,europe,united kingdom,walk up,4294,1309,57.0712,-3.66961,aberdeen / glasgow,
Ben More,europe,united kingdom,walk up,3166,965,56.424732,-6.013333,glasgow,
Ben Nevis,europe,united kingdom,walk up,4409,1344,56.7979,-5.00419,glasgow,1771
Ben Tee,europe,united kingdom,walk up,2956,901,57.0325,-4.899167,inverness,
Ben Vane,europe,united kingdom,walk up,3002,915,56.2498,-4.78172,glasgow,
Ben Venue,europe,united kingdom,walk up,2750,838,56,-4,glasgow or edinburgh,
Ben Wyvis,europe,united kingdom,walk up,3432,1046,57.679167,-4.579167,inverness or glasgow,
Benbulben,europe,ireland,nan,1739,530,54.366467,-8.47525,belfast international,
Bench Tor,europe,united kingdom,walk up,1024,312,50.289339,-3.80127,exeter,
Benna,europe,italy,walk up,7356,2242,,,milan,
Benzarino,north america,united states,scramble,7720,2353,48.489705,-120.817466,seattle,1926
Bergseeschijen,europe,switzerland,scramble,9236,2815,46.658601,8.484082,"lugano, berna",
Bernina,europe,switzerland,basic snow/ice climb,13284,4049,46.382393,9.90824,"zurich, switzerland",1850
Besiberri,europe,spain,nan,3029,923,42.59343,0.82583,huesca,
Beskid Krzy?owski,europe,poland,walk up,3028,923,49.3426,19.2344,bielsko bia?a,
Besler,europe,germany,walk up,5512,1680,,,"munich, augsburg",
Besna Kobila,europe,serbia and montenegro,walk up,6309,1923,42.33,22.14,niš,
Bezymianny,asia,russia,scramble,9455,2882,55.975068,160.582032,kamen village,1965
Bhagirathi,asia,india,major mountain expedition,22493,6856,30.85,79.15,"jollygrant, dehradun",1998
Biberkopf,europe,germany,scramble,8527,2599,47.2667,10.25,friedrichshafen,
Bidean Nam Bian,europe,united kingdom,scramble,3773,1150,56.6422,-5.02976,glasgow,
Bident Mountain,north america,canada,scramble,10118,3084,51.287366,-116.140766,calgary,1903
"Bierstadt, Mount",north america,united states,walk up,14060,4286,39.5828,-105.668,denver,
Bietschhorn,europe,switzerland,technical climb,12907,3934,46.39125,7.85075,geneva,
Big Bogong,australia/oceania,australia,nan,6762,2061,-36.25,148.5,melbourne,
Big Devil Peak,north america,united states,scramble,7055,2150,48.604595,-121.29344,seattle-tacoma,
Big Four Mountain,north america,united states,technical climb,6160,1878,48.043234,-121.524764,seattle-tacoma,1931
Big Jim,north america,united states,walk up,7763,2366,47.662324,-120.832272,seattle,
Big Kangaroo,north america,united states,technical climb,8280,2524,48.519243,-120.6175,seattle-tacoma,1941
Big Lake Butte,north america,united states,walk up,5197,1584,44.364913,-121.890092,portland,
Big Lou,north america,united states,walk up,7763,2366,47.63535,-120.839782,seattle,
Big Mount Spirabo,australia/oceania,australia,walk up,4803,1464,-29.347229,152.099966,brisbane,
Big Mountain,north america,united states,walk up,2458,749,39.9503,-77.9369,harrisburg,
Big Sister,north america,canada,scramble,9632,2936,51.014511,-115.353012,calgary international,1887
Big Snagtooth,north america,united states,technical climb,8330,2539,48.534701,-120.589549,seattle-tacoma,1946
Big Squaw Mountain,north america,united states,walk up,3196,974,45.496722,-69.741898,"bangor, me",
Big slide,north america,united states,walk up,4239,1292,44.182635,-73.870611,plattsburg international,
"Bigelow, Mount",north america,united states,walk up,8550,2606,32.4155,-110.715,tucson international,1697
Bihor,europe,romania,walk up,6066,1849,46.4408,22.6889,oradea,
Bilar Peak,asia,philippines,walk up,1673,510,9.712413,124.136972,tagbilaran airport,
"Billy Mitchell, Mount",north america,united states,basic snow/ice climb,7217,2200,61.203057,-145.275993,"anchorage, ak",
Bimberi,australia/oceania,australia,walk up,6273,1912,-35.5719,148.692,canberra,
Binga,africa,mozambique,scramble,7995,2437,-19.783333,33.066667,harare,
Binnein Mor,europe,united kingdom,walk up,3707,1130,56.7541,-4.92685,glasgow,
Bird Peak,north america,united states,scramble,5505,1678,61.0022,-149.285,anchorage,
"Birdwood, Mount",north america,canada,scramble,10161,3097,50.78472,-115.36778,calgary international airport,1922
Birkkarspitze,europe,austria,walk up,9019,2749,47.411111,11.437778,innsbruck,
Bisaurin,europe,spain,walk up,8760,2670,42.789858,-0.640469,pamplona,
Bishops Cap,north america,united states,technical climb,9127,2782,48.724604,-113.709784,"great falls, mt",
Bishorn,europe,switzerland,basic snow/ice climb,13625,4153,46.1179,7.714977,geneve / sion,
Bismarck Peak,north america,united states,walk up,7585,2312,46.76567,-121.273973,"yakima, wa",
Bisoke,africa,,walk up,12175,3711,,,kigali international airport,
"Bithongabel, Mt",australia/oceania,australia,walk up,3904,1190,-28.262422,153.171189,brisbane,
Bivachnaya,asia,tajikistan,technical climb,12139,3700,38.924795,68.718359,dushanbe,
Bjelasnica,europe,bosnia and herzegovina,walk up,6781,2067,43.7036,18.257,sarajevo airport,
Bla Bheinn,europe,united kingdom,scramble,3044,928,57.2196,-6.09312,inverness,1857
Black Butte,north america,united states,walk up,6436,1962,44.399754,-121.635449,"bend, oregon",
Black Fork Mountain,north america,united states,walk up,2600,792,34.712,-94.368,"fort smith, ar",
Black Giant,north america,united states,scramble,13330,4063,37.1,-118.667,san francisco/reno,
Black Hill,europe,united kingdom,walk up,1909,582,,,manchester,
Black Jack Mountain,australia/oceania,australia,nan,3852,1174,-37.25,148.833,melbourne,
Black Kaweah,north america,united states,technical climb,13675,4168,36.5453,-118.515,fresno airport,
Black Mesa,north america,united states,walk up,4973,1516,36.931838,-102.997859,nan,
Black Mountain,north america,united states,walk up,4145,1263,36.9167,-82.9,"lexington, ky",
Black Needles,south america,brazil,scramble,9144,2787,,,rio de janeiro - rj,
Black Olga,australia/oceania,australia,nan,100,30,,,nan,
Black Peak,north america,united states,scramble,8970,2734,48.523597,-120.815835,"seattle, wa",1926
Black Tusk,north america,canada,scramble,7608,2319,49.9753,-123.043,vancouver international,1912
"Blackburn, Mount",north america,united states,basic snow/ice climb,16390,4996,61.7317,-143.433,"anchorage, alaska",1912
Blackhope Scar,europe,united kingdom,walk up,2136,651,,,edinburgh,
Blackjack Mountain,north america,united states,walk up,4485,1367,48.034708,-121.610498,seattle,
"Blackmore, Mount",north america,united states,walk up,10154,3095,45.4442,-111.002,bozeman,
Blahnukur,europe,iceland,walk up,3094,943,,,keflavik,
"Blakiston, Mount",north america,canada,scramble,9547,2910,49.0933,-114.035,nan,
Blanc De Moming,europe,switzerland,scramble,12018,3663,,,nan,
Blanca Peak,north america,united states,scramble,14345,4372,37.5772,-105.485,"colorado springs, co, albuquerque, nm",1874
Blanco,south america,argentina,scramble,16821,5127,-32.898847,-69.425957,el plumerillo,1943
"Blane, Mount",north america,canada,technical climb,9820,2993,50.7267,-115.073,calgary international airport,1955
Blea Rigg,europe,united kingdom,walk up,1775,541,54.460833,-3.078333,manchester,
Blemlisalphorn,europe,switzerland,technical climb,12008,3660,46.5,7.76667,zürich,1860
Blencathra,europe,united kingdom,walk up,2847,868,54.64,-3.04978,manchester,
Blinnenhorn,europe,italy,scramble,10981,3347,46.425944,8.308028,milan,
Blodgett Peak,north america,united states,scramble,9423,2872,38.9667,-104.9,colorado springs airport,
Blood Mountain,north america,united states,walk up,4461,1360,34.7398,-83.9369,atlanta,
Blue Knob,north america,united states,walk up,3136,956,40.2883,-78.5619,pittsburgh,
Blue Lake Peak,north america,united states,scramble,7808,2380,48.506739,-120.657177,seattle,1946
Blue Mountain,north america,united states,walk up,6007,1831,47.954841,-123.259563,seattle-tacoma,
Blue Mountains,north america,jamaica,walk up,7602,2317,,,norman manley int'l,
Bluff Knoll,australia/oceania,australia,walk up,3829,1167,-34.65,117.417,"albany (domestic), perth (international)",
"Blum, Mount",north america,united states,scramble,7680,2341,48.754123,-121.482482,seattle-tacoma,
Boarstone Mountain,north america,united states,walk up,1947,593,45.3769,-69.4058,bangor international,
Bobotov kuk,europe,serbia and montenegro,scramble,8277,2523,,,podgorica,
Bockkarkopf,europe,germany,scramble,8556,2608,47.292096,10.28801,"friedrichshafen, memmingen",
"Bogart, Mount",north america,canada,scramble,10315,3144,50.9083,-115.242,"calgary, alberta",
Bogda Peak,asia,china,basic snow/ice climb,17864,5445,43.75,88.5333,"alma ata, kazachstan,  urumqi, china",
"Bogong, Mount",australia/oceania,australia,walk up,6516,1986,,,melbourne,
Bona,north america,united states,major mountain expedition,16421,5005,61.3856,-141.749,fairbanks,
Bonanza Peak,north america,united states,technical climb,9511,2899,48.238251,-120.866303,"seattle, washington",1937
"Bond, Mount",north america,united states,walk up,4698,1432,44.153033,-71.531291,manchester,1871
Bondcliff,north america,united states,walk up,4265,1300,44.140667,-71.540667,"manchester, nh",
Bonita Rock (Pedra Bonita),south america,brazil,walk up,2274,693,-22.9889,-43.2836,galeão-rio de janeiro,
Bonpland,south america,venezuela,scramble,16043,4890,8.54583,-71.0011,alberto carnevalli - mérida,1939
Boot Hill,north america,united states,technical climb,10000,3048,,,new orleans,1774
Borah Peak,north america,united states,scramble,12662,3859,44.1333,-113.783,"boise, idaho",1912
Borj,asia,iran,basic snow/ice climb,14354,4375,,,mehrabad,
Boston Peak,north america,united states,basic snow/ice climb,8894,2711,48.495564,-121.035991,seattle-tacoma,1938
Botev,europe,bulgaria,walk up,7795,2376,42.7167,24.9167,sofia,
Botnkrona,europe,norway,nan,3517,1072,65.4466,12.0225,"sandnessjøen lufthavn, stokka",
"Boucherie, Mount",north america,canada,scramble,2487,758,49.853889,-119.581389,kelowna international airport,
Boulder Mountain,north america,united states,walk up,8377,2553,44.8814,-115.938,boise,
Bouldsworth Hill,europe,united kingdom,walk up,1700,518,53.817274,-2.108688,leeds bradford,
Boundary Peak,north america,united states,walk up,13143,4006,37.85,-118.35,"reno, nevada",
"Bourgeau, Mount",north america,canada,scramble,9613,2930,51.132,-115.775,calgary international airport,1890
Bourinos,europe,greece,walk up,6122,1866,40.1833,21.65,kozani,1993
BouÁa,europe,portugal,nan,4715,1437,,,oporto,
Bow Peak,north america,canada,scramble,9409,2868,51.626489,-116.378946,calgary,
Bowfell,europe,united kingdom,walk up,2959,902,54.4492,-3.16676,manchester,
"Bowlen, Mount",north america,canada,basic snow/ice climb,10079,3072,51.3009,-116.1889,calgary,1901
Box Elder Peak,north america,united states,scramble,11101,3384,41.6356,-112.015,"salt lake city, ut",
Bradavica,europe,slovakia,technical climb,8123,2476,49.171716,20.155621,poprad,1892
Braeriach,europe,united kingdom,walk up,4252,1296,57.0777,-3.73055,inverness / aberdeen,
Brandon Mountain,europe,ireland,scramble,3127,953,52.235278,-10.254444,farranfore,1998
Brandywine Pk,north america,canada,scramble,7346,2239,,,vancouver,
Brasstown Bald,north america,united states,walk up,4784,1458,34.8723,-83.8099,atlanta,
Bratkov Peak,europe,,walk up,6375,1943,43.3167,22.75,belgrade,
Breckenridge Mountain,north america,united states,walk up,7548,2301,35.4511,-118.583,"bakersfield, ca",
Breitenberg,europe,germany,scramble,6211,1893,47.469501,10.383196,memmingen,
Breithorn,europe,switzerland,basic snow/ice climb,13661,4164,45.939627,7.754101,geneva,1813
Breithorn (Simplon),europe,switzerland,basic snow/ice climb,11280,3438,46.23837,8.08401,geneve,
Breitinden,europe,norway,walk up,2986,910,65.4466,12.0225,"sandnessjøen lufthavn, stokka",
Brenibba,europe,norway,nan,6621,2018,61.764444,7.194167,"oslo, norway",
Brenta Alta,europe,italy,scramble,9711,2960,46.184616,10.898473,"trento, verona",1880
"Bretherton, Mount",north america,united states,scramble,5960,1817,47.619558,-123.210211,seattle-tacoma,
"Brett, Mount",north america,canada,scramble,9790,2984,51.1617,-115.82,calgary international airport,1916
"Brewer, Mt",north america,united states,scramble,13570,4136,36.7,-118.483,fresno yosemite intl.,1864
Britton Hill,north america,united states,walk up,345,105,30.987719,-86.281867,nan,
Broad Cairn,europe,united kingdom,walk up,3274,998,56.9186,-3.25,aberdeen,
Broad Peak,asia,pakistan,major mountain expedition,26400,8047,35.8167,76.5667,"islamabad, pakistan",1957
"Brock, Mount",north america,canada,nan,9521,2902,50.7367,-115.082,calgary international airport,1954
Brocken,europe,germany,walk up,3747,1142,51.79938,10.616226,hannover,1777
Broken Top,north america,united states,scramble,9175,2797,44.08293,-121.699462,"redmond, oregon",1910
Bronzone,europe,italy,walk up,4377,1334,,,orio al serio bergamo,
"Bross, Mount",north america,united states,walk up,14172,4320,39.3353,-106.107,denver,
Brothers Mountain,australia/oceania,australia,walk up,4948,1508,-30.018,151.658,armidale,
"Brouillard, Mont",europe,italy,basic snow/ice climb,13297,4053,45.817554,6.865094,"geneva, switzerland",
Brown Mountain,north america,united states,scramble,7340,2237,42.364823,-122.270236,eugene airport,
Brown Peak,north america,united states,walk up,6322,1927,46.950716,-121.5852,seattle-tacoma,
Bruach Na Frithe,europe,united kingdom,scramble,3143,958,,,glasgow,1845
Brumlow Top,australia/oceania,australia,walk up,5203,1586,-32.003017,151.447692,newcastle,
Brundage Mountain,north america,united states,walk up,8000,2438,45.01,-116.13,boise international airport,2007
Brunegghorn,europe,switzerland,basic snow/ice climb,12575,3833,46.125944,7.745917,"geneva, milano",
Brussels Peak,north america,canada,technical climb,10371,3161,52.5166,-117.8222,calgary or edmonton,1948
Bryant Peak,north america,united states,scramble,5801,1768,47.451279,-121.460853,seattle-tacoma,1926
"Bryce, Mount",north america,canada,technical climb,11506,3507,52.041036,-117.329779,calgary,1902
Buachaille Etive Mor,europe,united kingdom,walk up,3345,1020,56.646176,-4.900846,glasgow int.,
Buck Mountain,north america,united states,scramble,11938,3639,43.689226,-110.819268,"jackson, wy",1898
Buckhorn Knob,north america,united states,walk up,4069,1240,37.2927,-80.9801,mercer county airport,
Buckhorn Mountain,north america,united states,walk up,6988,2130,47.825574,-123.121762,seattle-tacoma,
"Buckindy, Mount",north america,united states,scramble,7320,2231,48.351629,-121.206408,seattle-tacoma,1963
Buckner Mountain,north america,united states,basic snow/ice climb,9112,2777,48.495128,-120.99789,seattle-tacoma,1901
Bucsoiu,europe,romania,walk up,8071,2460,,,bucharest,
Bucura,europe,romania,walk up,8215,2504,,,"otopeni,bucharest",
Buffalo Mountain,north america,united states,walk up,3971,1210,,,roanoke regional,
Bukit Batu Bujang Pahang,asia,brunei,technical climb,230,70,4.04647,114.872,brunei international airport,
Bull Run Peak,north america,united states,walk up,9495,2894,38.4667,-119.883,reno,
"Bullen, Mount",north america,united states,scramble,5974,1821,48.195502,-121.698732,seattle,1932
"Buller, Mount",north america,canada,scramble,9186,2800,50.8917,-115.315,calgary international airport,
"Buller, Mt",australia/oceania,australia,walk up,5919,1804,-37.1475,146.449,melbourne,
Bullwinkle Tower,north america,united states,technical climb,5220,1591,38.697187,-109.54929,salt lake city,
"Bulut, Mount",asia,turkey,scramble,11686,3562,38.2,37.8,trabzon,
Bunker Hill,north america,united states,walk up,11475,3498,,,"reno, nv",
"Burgess, Mount",north america,canada,scramble,8527,2599,51.420278,-116.505278,calgary,1892
Burney Mountain,north america,united states,walk up,7863,2396,40.806569,-121.627931,redding,
"Burney, Mount",north america,canada,scramble,9626,2934,50.71,-115.062,calgary international airport,1956
"Burnham, Mount",north america,united states,walk up,8997,2742,34.359132,-117.781506,los angeles,
Burroughs Mountain,north america,united states,walk up,7828,2386,46.901487,-121.71346,seattle-tacoma,
"Burstall, Mount",north america,canada,scramble,8989,2740,50.7723,-115.325,calgary international,1972
Bush Mountain,north america,united states,walk up,8361,2548,31.9167,-104.867,el paso,
"Bushby, Mount",australia/oceania,australia,walk up,6890,2100,,,sydney,1898
Bussen,europe,germany,walk up,2516,767,48.16328,9.556518,memmingen,
Butlassen,europe,switzerland,basic snow/ice climb,10476,3193,,,bern - belp,
Buurgplaatz,europe,luxembourg,walk up,1834,559,50.1615,6.0281,luxembourg city,
Bwahit,africa,ethiopia,walk up,14534,4430,13.300469,38.327694,gondar,
Byadbo Mountain,australia/oceania,australia,nan,3609,1100,-37.5,148.833,melbourne,
Byer's Peak,north america,united states,walk up,12804,3903,,,denver international,
Bålleberget,europe,sweden,walk up,981,299,61.962005,17.030208,sundsvall/ midlanda,1900
